Acronym,Reservoir,Region
S_ALMNR,Almanor,SAC
S_ALOHA,Aloha,SAC
S_ANTLP,Antelope,SAC
S_BLKBT,Black Butte,SAC
S_BLUMD,"Upper and Lower Blue, Twin, Meadow",SAC
S_BOWMN,Bowman,SAC
S_BRYSA,Berryessa,SAC
S_BTVLY,Butt Valley,SAC
S_BUCKS,Bucks,SAC
S_CAPLS,Caples,SAC
S_CLRLK,Clear Lake,SAC
S_CMBIE,Combie,SAC
S_CMPFW,Camp Far West,SAC
S_DAVIS,Davis,SAC
S_EBTML,EBMUD terminal reservoirs,SAC
S_ECHOL,Echo,SAC
S_ENGLB,Englebright,SAC
S_EPARK,East Park,SAC
S_FOLSM,Folsom,SAC
S_FRDYC,Fordyce,SAC
S_FRMAN,Frenchman,SAC
S_FRNCH,French,SAC
S_GERLE,Gerle,SAC
S_HHOLE,Hell Hole,SAC
S_ICEHS,Ice House,SAC
S_INDVL,Indian Valley,SAC
S_JKSMD,Jackson Meadows,SAC
S_KSWCK,Keswick,SAC
S_LCBRF,"Lindsey, Culbertson, Blue, Rucker, Feeley",SAC
S_LGRSV,Little Grass Valley,SAC
S_LKVLY,Lake Valley,SAC
S_LOONL,Loon,SAC
S_LWSTN,Lewiston,SAC
S_MERLC,Merle Collins,SAC
S_MTMDW,Mountain Meadows,SAC
S_NBLDB,New Bullards Bar,SAC
S_NTOMA,Natoma,SAC
S_OROVL,Oroville,SAC
S_RLLNS,Rollins,SAC
S_RVPHB,Round Valley and Philbrook,SAC
S_SCOTF,Scott Flat,SAC
S_SGRGE,Stony Gorge,SAC
S_SHSTA,Shasta,SAC
S_SILVR,Silver,SAC
S_SLTSP,Salt Springs,SAC
S_SLYCK,Sly Creek,SAC
S_SPLDG,Spaulding,SAC
S_STMPY,Stumpy Meadows,SAC
S_THRMA,Thermalito Afterbay,SAC
S_THRMF,Thermalito Forebay,SAC
S_TRNTY,Trinity,SAC
S_UNVLY,Union Valley,SAC
S_WKYTN,Whiskeytown,SAC
S_ALPNE,Alpine,SJR
S_AMADR,Amador,SJR
S_BEARD,Beardsley,SJR
S_CMCHE,Camanche,SJR
S_DONLL,Donnell,SJR
S_EBMUD,EBMUD terminal reservoirs,SJR
S_ESTMN,Eastman,SJR
S_FRMDW,French Meadows,SJR
S_HNSLY,Hensley,SJR
S_JNKSN,Jenkinson,SJR
S_LBEAR,Lower Bear,SJR
S_LOSVQ,Los Vaqueros,SJR
S_LYONS,Lyons,SJR
S_MCLRE,McClure,SJR
S_MDSTO,Modesto,SJR
S_MELON,New Melones,SJR
S_MLRTN,Millerton,SJR
S_NHGAN,New Hogan,SJR
S_PARDE,Pardee,SJR
S_PCRST,Pine Crest,SJR
S_PEDRO,New Don Pedro,SJR
S_RELIEF,Relief,SJR
S_RNCHO,Rancho Murieta local reservoirs,SJR
S_SLUIS,San Luis,SJR
S_SPICE,Spice,SJR
S_TRLCK,Turlock,SJR
S_TULOC,Tulloch,SJR
S_UBEAR,Upper Bear,SJR
S_WDWRD,Woodward,SJR

