id,code,name,description,is_percentile,created_by,updated_by,created_at,updated_at
1,mean,mean,Mean,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
2,median,median,Median,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
3,min,minimum,Minimum,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
4,max,maximum,Maximum,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
5,p10,10th percentile,10th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
6,p30,30th percentile,30th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
7,p70,70th percentile,70th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
8,p90,90th percentile,90th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
9,p90,90th percentile,90th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
10,p100,100th percentile,100th percentile,True,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
11,cv,coefficient of variation,coefficient of variation,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
12,other,other statistic,custom statistic,False,1,,2024-01-01 00:00:00,2024-01-01 00:00:00
